"","Reference.Type","Record.Number","Author","Year","Title","Journal","Volume","Issue","Pages","Short.Title","Label","Editor","Book.Title","City","Publisher","Short.Title..A.new.bat..Chiroptera","Date","Number.of.Pages","Academic.Department","University","Advisor","Thesis.Type","Series.Title","Notes","Last.Update.Date","Type.of.Medium","URL","Accession.Number","Series.Editor"
"247"," Journal Article","1035","E. D. Cope","1890","A new dog from the Loup Fork Miocene","American Naturalist","24","287","1067-1068","A new dog from the Loup Fork Miocene","1112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248"," Journal Article","1034","M. R. Voorhies","1965","The Carnivora of the Trail Creek Fauna","Contributions to Geology, University of Wyoming","4",NA,"21-25","The Carnivora of the Trail Creek Fauna","1111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249"," Journal Article","1033","K. Munthe","1989","The skeleton of the Borophaginae (Carnivora, Canidae), morphology and function","University of California Publications in Geological Sciences","133",NA,"1-115","The skeleton of the Borophaginae (Carnivora, Canidae), morphology and function","1110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250"," Journal Article","1032","E. M. Schlaikjer","1934","Three new oreodonts","Proceedings of the Boston Society of Natural History","40","3","219-232","Three new oreodonts","1109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251"," Journal Article","1031","E. D. Cope","1883","On the extinct dogs of North America","American Naturalist","17","3","235-249","On the extinct dogs of North America","1108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252"," Journal Article","1030","J. Leidy","1856a","Notice of some remains of extinct vertebrated animals","Proceedings of the Academy of Natural Sciences of Philadelphia","8",NA,"163-165","Notice of some remains of extinct vertebrated animals","1107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253"," Journal Article","1029","E. D. Cope","1884e","The history of the Oreodontidae","American Naturalist","18","3","280-282","The history of the Oreodontidae","1106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254"," Journal Article","1028","E. D. Cope","1881c","On the Canidae of the Loup Fork epoch","Bulletin of the United States Geological and Geographic Survey of the Territories","6","2","387-390","On the Canidae of the Loup Fork epoch","1105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255"," Journal Article","1027","O. C. Marsh","1871a","Notice of some new fossil mammals from the Tertiary Formation","American Journal of Science","2","7","35-44","Notice of some new fossil mammals from the Tertiary Formation","1104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256"," Journal Article","1026","E. D. Cope","1886b","On two new species of three-toed horses from the upper Miocene, with notes on the fauna of the Ticholeptus beds","Proceedings of the American Philosophical Society","23","123","357-361","On two new species of three-toed horses from the upper Miocene, with notes on the fauna of the Ticholeptus beds","1103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257"," Journal Article","1025","E. D. Cope","1886a","The vertebrate fauna of the Ticholeptus beds","American Naturalist","20","4","367-369","The vertebrate fauna of the Ticholeptus beds","1102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258"," Journal Article","1040","J. Leidy","1854","[Remarks on several fossils indicating new species of extinct Mammalia]","Proceedings of the Academy of Natural Sciences of Philadelphia","7",NA,"90","[Remarks on several fossils indicating new species of extinct Mammalia]","1101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259"," Journal Article","1023","X. Xu","1994","Evolution of Chinese Castoridae","National Science Museum Monographs","8",NA,"77-98","Evolution of Chinese Castoridae","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260"," Journal Article","1021","O. A. Peterson","1905c","Description of new rodents and discussion of the origin of Daemonelix","Memoirs of the Carnegie Museum","2","4","139-202","Description of new rodents and discussion of the origin of Daemonelix","1099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261"," Journal Article","1020","J. Leidy","1870b","[October 4th Proceedings]","Proceedings of the Academy of Natural Sciences of Philadelphia","22",NA,"109-110","[October 4th Proceedings]","1098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262"," Journal Article","1019","W. J. Sinclair","1915","Additions to the fauna of the lower Pliocene Snake Creek beds (results of the Princeton University 1914 expedition to Nebraska)","Proceedings of the American Philosophical Society","54","217","73-95","Additions to the fauna of the lower Pliocene Snake Creek beds (results of the Princeton University 1914 expedition to Nebraska)","1097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263"," Journal Article","1018","M. R. Thorpe","1921e","Two new forms of Agriochoerus","American Journal of Science","202","8","111-119","Two new forms of Agriochoerus","1096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264"," Journal Article","1017","R. H. Tedford","2005","Miocene mammalian faunas, Ogallala Group, Pawnee Buttes area, Weld County, Colorado","Bulletin of Carnegie Museum of Natural History","36",NA,"277-290","Miocene mammalian faunas, Ogallala Group, Pawnee Buttes area, Weld County, Colorado","1095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265"," Journal Article","1016","S. D. Webb and J. Meachen","2005","On the origin of lamine Camelidae including a new genus from the late Miocene of the High Plains","Bulletin of Carnegie Museum of Natural History","36",NA,"349-362","On the origin of lamine Camelidae including a new genus from the late Miocene of the High Plains","1094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266"," Journal Article","1015","B. P. Kraatz and A. D. Barnosky","2005","Barstovian ochotonids from Hepburn's Mesa, Park County, Montana, with comments on the biogeography and phylogeny of Oreolagus","Bulletin of Carnegie Museum of Natural History","36",NA,"121-136","Barstovian ochotonids from Hepburn's Mesa, Park County, Montana, with comments on the biogeography and phylogeny of Oreolagus","1093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267"," Journal Article","1014","J. G. Honey","2005","Taxonomic utility of sequential wear patterns in some fossil camelids; comparison of three Miocene taxa","Bulletin of Carnegie Museum of Natural History","36",NA,"43-62","Taxonomic utility of sequential wear patterns in some fossil camelids; comparison of three Miocene taxa","1092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268"," Journal Article","1013","W. D. Matthew","1908","Osteology of Blastomeryx and phylogeny of the American Cervidae","Bulletin of the American Museum of Natural History","24","27","535-562","Osteology of Blastomeryx and phylogeny of the American Cervidae","1091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269"," Journal Article","1012","W. D. Matthew","1909c","Observations upon the genus Ancodon","Bulletin of the American Museum of Natural History","26","1","1-7","Observations upon the genus Ancodon","1090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270"," Journal Article","1011","J. R. Macdonald","1957","New records of leptochoerids from the late Oligocene and early Miocene of South Dakota","Journal of Paleontology","31","3","673","New records of leptochoerids from the late Oligocene and early Miocene of South Dakota","1089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271"," Journal Article","1010","M. Green","1958","Arikareean rhinoceroses from South Dakota","Journal of Paleontology","32","3","587-594","Arikareean rhinoceroses from South Dakota","1088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272"," Journal Article","1009","W. D. Matthew and J. R. Macdonald","1960","Two new species of Oxydactylus from the middle Miocene Rosebud Formation in western South Dakota","American Museum Novitates","2003",NA,"1-7","Two new species of Oxydactylus from the middle Miocene Rosebud Formation in western South Dakota","1087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273"," Journal Article","1008","P. O. McGrew","1941c","The Aplodontoidea","Field Museum of Natural History, Geological Series","9","1","1-30","The Aplodontoidea","1086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274"," Journal Article","1007","W. D. Matthew","1907","A lower Miocene fauna from South Dakota","Bulletin of the American Museum of Natural History","23","9","169-219","A lower Miocene fauna from South Dakota","1085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275"," Journal Article","1006","R. J. Emry, W. W. Korth and M. A. Bell","2005","A tree squirrel (Rodentia, Sciuridae, Sciurini) from the late Miocene (Clarendonian) of Nevada","Journal of Vertebrate Paleontology","25","1","228-235","A tree squirrel (Rodentia, Sciuridae, Sciurini) from the late Miocene (Clarendonian) of Nevada","1084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276"," Journal Article","1005","M. O. Woodburne","2005","A new occurrence of Cormohipparion, with implications for the Old World Hippotherium datum","Journal of Vertebrate Paleontology","25","1","256-257","A new occurrence of Cormohipparion, with implications for the Old World Hippotherium datum","1083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277"," Journal Article","1004","J. Leidy","1870a","Remarks on a collection of fossils from Dalles City, Oregon","Proceedings of the Academy of Natural Sciences of Philadelphia","22",NA,"111-113","Remarks on a collection of fossils from Dalles City, Oregon","1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278"," Journal Article","1003","A. E. Wood","1935b","Two new genera of cricetid rodents from the Miocene of western North America","American Museum Novitates","789",NA,"1-3","Two new genera of cricetid rodents from the Miocene of western North America","1081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279"," Journal Article","1002","E. D. Cope","1884d","Synopsis of species of Oreodontidae","Proceedings of the American Philosophical Society","21","116","503-572+615","Synopsis of species of Oreodontidae","1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280"," Journal Article","1001","M. R. Thorpe","1921d","John Day eporeodons, with descriptions of new genera and species","American Journal of Science","252","8","93-111","John Day eporeodons, with descriptions of new genera and species","1079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281"," Journal Article","1000","M. R. Thorpe","1921c","John Day Promerycochoeri, with descriptions of five new species and one new subgenus","American Journal of Science","251","3","215-244","John Day Promerycochoeri, with descriptions of five new species and one new subgenus","1078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282"," Journal Article","999","E. D. Cope","1879e","A new genus of Perissodactyla","American Naturalist","13","4","270-271","A new genus of Perissodactyla","1077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283"," Journal Article","998","J. R. Thomasson","2005","Berriochloa gabeli and Berriochloa huletti (Gramineae; Stipeae), two new grass species from the late Miocene Ash Hollow Formation of Nebraska and Kansas","Journal of Paleontology","79","1","185-199","Berriochloa gabeli and Berriochloa huletti (Gramineae; Stipeae), two new grass species from the late Miocene Ash Hollow Formation of Nebraska and Kansas","1076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284"," Journal Article","997","T. F. Olcott","1909","A new species of Teleoceras from the Miocene of Nebraska","American Journal of Science","178","166","403-404","A new species of Teleoceras from the Miocene of Nebraska","1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285"," Journal Article","996","C. F. Wellstead","1981","Sedimentology of Norden Bridge and Egelhoff fossil quarries (Miocene) of north-central Nebraska","Transactions of the Nebraska Academy of Sciences","9",NA,"67-85","Sedimentology of Norden Bridge and Egelhoff fossil quarries (Miocene) of north-central Nebraska","1074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286"," Journal Article","995","E. D. Cope","1880c","A new genus of Rhinocerontidae [sic]","American Naturalist","14","7","540","A new genus of Rhinocerontidae [sic]","1073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287"," Journal Article","994","E. Douglass","1908","Rhinoceroses from the Oligocene and Miocene deposits of North Dakota and Montana","Annals of Carnegie Museum","4","3-4","256-266","Rhinoceroses from the Oligocene and Miocene deposits of North Dakota and Montana","1072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288"," Journal Article","993","E. H. Barbour","1906b","Notice of a new Miocene Rhinoceros, Diceratherium arikarense","Science, New Series","24","624","780-781","Notice of a new Miocene Rhinoceros, Diceratherium arikarense","1071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289"," Journal Article","992","E. H. Barbour","1906a","Notice of a new fossil rhinoceros from Sioux County, Nebraska","Nebraska Geological Survey","2","4","311-318","Notice of a new fossil rhinoceros from Sioux County, Nebraska","1070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290"," Journal Article","991","H. E. Wood, II","1927","Some early Tertiary rhinoceroses and hyracodonts","Bulletin of American Paleontology","13","50","1-104","Some early Tertiary rhinoceroses and hyracodonts","1069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291"," Journal Article","990","H. J. Cook","1908","A new rhinoceros from the lower Miocene of Nebraska","American Naturalist","42","500","543-545","A new rhinoceros from the lower Miocene of Nebraska","1068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292"," Journal Article","989","O. C. Marsh","1873","Notice of new Tertiary mammals","American Journal of Science and Arts","105","29","407-410","Notice of new Tertiary mammals","1067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293"," Journal Article","988","O. C. Marsh","1875","Notice of new Tertiary mammals, IV","American Journal of Science and Arts","109","51","239-250","Notice of new Tertiary mammals, IV","1066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294"," Journal Article","987","H. E. Wood, II","1933","A fossil rhinoceros (Diceratherium armatum Marsh) from Gallatin County, Montana","Proceedings of the United States National Museum","82","7","1-4","A fossil rhinoceros (Diceratherium armatum Marsh) from Gallatin County, Montana","1065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295"," Journal Article","986","E. D. Cope","1879d","American Aceratheria","American Naturalist","13","5","333-334","American Aceratheria","1064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296"," Journal Article","985","H. F. Osborn","1898b","The extinct rhinoceroses","Memoirs of the American Museum of Natural History","1","3","75-164","The extinct rhinoceroses","1063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297"," Journal Article","984","F. A. Lucas","1898","Contributions to paleontology.  2.  A new species of Dinictis (D. major)","American Journal of Science","156","35","399-400","Contributions to paleontology.  2.  A new species of Dinictis (D. major)","1062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298"," Book","983","D. R. Prothero","2005a","The evolution of North American Rhinoceroses",NA,NA,NA,NA,"The evolution of North American Rhinoceroses","1061",NA,NA,"New York","Cambridge University Press",NA,NA,"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299"," Thesis","982","B. E. Bailey","2001","Miocene stratigraphy of the Niobrara River Valley, western Cherry County, Nebraska",NA,NA,NA,NA,"Miocene stratigraphy of the Niobrara River Valley, western Cherry County, Nebraska","1060",NA,NA,"Lincoln",NA,NA,NA,"92","Geosciences","University of Nebraska","R. M. Hunt","M.S.",NA,NA,NA,NA,NA,NA,NA
"300"," Journal Article","981","X. Wang, Z. Qiu and B. Wang","2004","A new leptarctine (Carnivora; Mustelidae) from the early Miocene of the northern Tibetan Plateau; implications for the phylogeny and zoogeography of basal mustelids","Zoological Journal of the Linnean Society","142","3","405-421","A new leptarctine (Carnivora; Mustelidae) from the early Miocene of the northern Tibetan Plateau; implications for the phylogeny and zoogeography of basal mustelids","1059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301"," Journal Article","980","J.-D. Lim and L. D. Martin","2000","A new primitive leptarctine (Mustelidae) from the North American Miocene","Neues Jahrbuch für Geologie und Paläontologie","2000","10","632-640","A new primitive leptarctine (Mustelidae) from the North American Miocene","1058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302"," Journal Article","979","W. W. Korth","2004b","Beavers (Rodentia, Castoridae) from the Runningwater Formation (early Miocene, early Hemingfordian) of western Nebraska","Annals of Carnegie Museum","73","2","61-71","Beavers (Rodentia, Castoridae) from the Runningwater Formation (early Miocene, early Hemingfordian) of western Nebraska","1057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303"," Journal Article","978","E. Douglass","1909c","Dromomeryx, a new genus of American ruminants","Annals of Carnegie Museum","5",NA,"457-479","Dromomeryx, a new genus of American ruminants","1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304"," Journal Article","977","E. Douglass","1900","New species of Merycochoerus in Montana.  Part I.","American Journal of Science","160",NA,"428-438","New species of Merycochoerus in Montana.  Part I.","1055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305"," Journal Article","976","M. C. McKenna","1955","A new species of mylagaulid from the Chalk Cliffs local fauna, Montana","Journal of the Washington Academy of Sciences","45","4","107-110","A new species of mylagaulid from the Chalk Cliffs local fauna, Montana","1054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306"," Journal Article","975","B. E. Bailey","2004","Biostratigraphy and biochronology of early Arikareean through late Hemingfordian small mammal faunas from the Nebraska panhandle and adjacent areas","Paludicola","4","3","81-113","Biostratigraphy and biochronology of early Arikareean through late Hemingfordian small mammal faunas from the Nebraska panhandle and adjacent areas","1053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307"," Journal Article","974","K. J. Bartley, C. Mitchell and W. W. Korth","2004","A taphonomic study of Clarendonian (Miocene) Teleoceras (Perissodactyla, Rhinocerotoidea) from the Ogallala Formation northwestern Kansas","Geological Society of America Abstracts with Programs","36","5","65","A taphonomic study of Clarendonian (Miocene) Teleoceras (Perissodactyla, Rhinocerotoidea) from the Ogallala Formation northwestern Kansas","1052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308"," Journal Article","973","W. W. Korth","2004a","Preliminary determination of the age of the Sappa Creek local fauna, northwestern Kansas","Paludicola","4","4","115-124","Preliminary determination of the age of the Sappa Creek local fauna, northwestern Kansas","1051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309"," Journal Article","972","W. J. Sinclair","1905","New and imperfectly known rodents and ungulates from the John Day series","University of California Publications, Bulletin of the Department of Geology","4",NA,"132-134","New and imperfectly known rodents and ungulates from the John Day series","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310"," Journal Article","971","O. A. Peterson","1909","A revision of the Entelodontidae","Memoirs of the Carnegie Museum","4","3","41-158","A revision of the Entelodontidae","1049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311"," Journal Article","970","J. Leidy","1873","Contributions to the extinct vertebrate fauna of the western territories","Report of the United States Geological Survey of the Territories","1",NA,"1-320","Contributions to the extinct vertebrate fauna of the western territories","1048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312"," Journal Article","969","R. A. Martin, J. G. Honey and P. Peláez-Camponanes","2000","The Meade Basin rodent project; a progress report","Paludicola","3","1","1-32","The Meade Basin rodent project; a progress report","1047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313"," Journal Article","968","W. W. Korth","2002","Review of the castoroidine beavers (Rodentia, Castoridae) from the Clarendonian (Miocene) of northcentral Nebraska","Paludicola","4","1","15-24","Review of the castoroidine beavers (Rodentia, Castoridae) from the Clarendonian (Miocene) of northcentral Nebraska","1046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314"," Journal Article","967","M. F. Morea and W. W. Korth","2002","A new eomyid rodent (Mammalia) from the Hemingfordian (early Miocene) of Nevada and its relationship to Eurasian Apeomyinae (Eomyidae)","Paludicola","4","1","10-14","A new eomyid rodent (Mammalia) from the Hemingfordian (early Miocene) of Nevada and its relationship to Eurasian Apeomyinae (Eomyidae)","1045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315"," Journal Article","966","E. L. Troxell","1920","Entelodonts in the Marsh collection","American Journal of Science","200",NA,"243-255, 361-386, 431-445","Entelodonts in the Marsh collection","1044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316"," Journal Article","965","S. E. Foss and T. Fremd","1998","A survey of the species of entelodonts (Mammalia, Artiodactyla) of the John Day Basin, Oregon","Dakoterra","5",NA,"63-72","A survey of the species of entelodonts (Mammalia, Artiodactyla) of the John Day Basin, Oregon","1043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317"," Thesis","964","E. Douglass","1899","The Miocene lake beds of western Montana and descriptions of some new vertebrates from the Loup Fork",NA,NA,NA,NA,"The Miocene lake beds of western Montana and descriptions of some new vertebrates from the Loup Fork","1042",NA,NA,"Missoula",NA,NA,NA,"27",NA,"University of Montana",NA,"M.S.",NA,NA,NA,NA,NA,NA,NA
"318"," Journal Article","963","E. Douglass","1909b","Description of a new species of Procamelus from the upper Miocene of Montana, with notes upon Procamelus madisonius Douglass","Annals of Carnegie Museum","5","159-165",NA,"Description of a new species of Procamelus from the upper Miocene of Montana, with notes upon Procamelus madisonius Douglass","1041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319"," Journal Article","962","E. Douglass","1901","New species of Merycochoerus in Montana.  Part II","American Journal of Science","161",NA,"73-83","New species of Merycochoerus in Montana.  Part II","1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320"," Journal Article","961","W. D. Matthew and C. C. Mook","1933","New fossil mammals from the Deep River Beds of Montana","American Museum Novitates","601",NA,"1-7","New fossil mammals from the Deep River Beds of Montana","1039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321"," Journal Article","960","W. B. Scott","1893","The mammals of the Deep River Beds","American Naturalist","27","319","659-662","The mammals of the Deep River Beds","1038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322"," Journal Article","959","E. Douglass","1907b","Some new merycoidodonts","Annals of Carnegie Museum","4",NA,"99-109","Some new merycoidodonts","1037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323"," Journal Article","958","J. H. Wahlert","1991","The Harrymyinae, a new heteromyid subfamily (Rodentia, Geomorpha), based on cranial and dental morphology of Harrymys Munthe, 1988","American Museum Novitates","3013",NA,"1-23","The Harrymyinae, a new heteromyid subfamily (Rodentia, Geomorpha), based on cranial and dental morphology of Harrymys Munthe, 1988","1036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324"," Journal Article","957","G. A. Izett and J. D. Obradovich","2001","40Ar/39Ar ages of Miocene tuffs in basin-fill deposits (Santa Fe Group, New Mexico, and Troublesome Formation, Colorado) of the Rio Grande rift system","The Mountain Geologist","38","2","77-86","40Ar/39Ar ages of Miocene tuffs in basin-fill deposits (Santa Fe Group, New Mexico, and Troublesome Formation, Colorado) of the Rio Grande rift system","1035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325"," Journal Article","956","J. Boellstorff","1978","Chronology of some late Cenozoic deposits from the central United States and the ice ages","Transactions of the Nebraska Academy of Sciences","6",NA,"35-49","Chronology of some late Cenozoic deposits from the central United States and the ice ages","1034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326"," Journal Article","955","E. D. Cope","1881b","The Rodentia of the American Miocene","American Naturalist","15","7","586-587","The Rodentia of the American Miocene","1033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327"," Journal Article","954","E. D. Cope","1884c","The Vertebrata of the Tertiary formations of the West.  Book I","Report of the United States Geological Survey of the Territories","3",NA,"1-1009","The Vertebrata of the Tertiary formations of the West.  Book I","1032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328"," Journal Article","953","E. D. Cope","1881a","On the Nimravidae and Canidae of the Miocene period","Bulletin of the United States Geological and Geographic Survey of the Territories","6",NA,"165-181","On the Nimravidae and Canidae of the Miocene period","1031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329"," Journal Article","952","E. D. Cope","1879c","On the genera of Felidae and Canidae","Proceedings of the Academy of Natural Sciences of Philadelphia",NA,NA,"168-194","On the genera of Felidae and Canidae","1030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330"," Journal Article","951","M. R. Thorpe","1922b","Oregon Tertiary Canidae, with descriptions of new forms","American Journal of Science","203","15","162-176","Oregon Tertiary Canidae, with descriptions of new forms","1029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331"," Journal Article","950","E. D. Cope","1880b","Observations on the faunae of the Miocene Tertiaries of Oregon","Bulletin of the United States Geological and Geographic Survey of the Territories","5","3","55-69","Observations on the faunae of the Miocene Tertiaries of Oregon","1028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
