"","Reference.Type","Record.Number","Author","Year","Title","Journal","Volume","Issue","Pages","Short.Title","Label","Editor","Book.Title","City","Publisher","Short.Title..A.new.bat..Chiroptera","Date","Number.of.Pages","Academic.Department","University","Advisor","Thesis.Type","Series.Title","Notes","Last.Update.Date","Type.of.Medium","URL","Accession.Number","Series.Editor"
"718"," Journal Article","842","C. Stock","1921","Later Cenozoic mammalian remains from the Meadow Valley region, southeastern Nevada","American Journal of Science","2","32","250-264","Later Cenozoic mammalian remains from the Meadow Valley region, southeastern Nevada","553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719"," Journal Article","841","R. E. Reynolds and E. H. Lindsay","1999","Late Tertiary basins and vertebrate faunas along the Nevada-Utah border","Utah Geological Survey Miscellaneous Publication","99","1","469-478","Late Tertiary basins and vertebrate faunas along the Nevada-Utah border","552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720"," Journal Article","839","J. R. Macdonald and L. Macdonald","1976","Barbourofelis fricki from the early Hemphillian of Nevada","Journal of Paleontology","50","5","792-794","Barbourofelis fricki from the early Hemphillian of Nevada","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721"," Journal Article","838","C. Stock","1934b","Skull and dentition of the American Miocene cat, Pseudaelurus","Geological Society of America Bulletin","45","6","1051-1058","Skull and dentition of the American Miocene cat, Pseudaelurus","549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722"," Journal Article","837","J. E. Mawby","1968b","Megabelodon minor (Mammalia, Proboscidea), a new species of mastodont from the Esmeralda Formation of Nevada","PaleoBios","4",NA,"10","Megabelodon minor (Mammalia, Proboscidea), a new species of mastodont from the Esmeralda Formation of Nevada","548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723"," Journal Article","836","J. E. Mawby","1968a","Megahippus and Hypohippus (Perissodactyla, Mammalia) from the Esmeralda Formation of Nevada","PaleoBios","7",NA,"13","Megahippus and Hypohippus (Perissodactyla, Mammalia) from the Esmeralda Formation of Nevada","547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724"," Journal Article","835","T. S. Kelly","2000","A new Hemphillian (late Miocene) mammalian fauna from Hoye Canyon, west central Nevada","Contributions in Science, Los Angeles County Museum","481",NA,"1-21","A new Hemphillian (late Miocene) mammalian fauna from Hoye Canyon, west central Nevada","546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725"," Journal Article","834","T. S. Kelly","1997","Additional late Cenozoic (latest Hemphillian to earliest Irvingtonian) mammals from Douglas County, Nevada","PaleoBios","18","1","1-31","Additional late Cenozoic (latest Hemphillian to earliest Irvingtonian) mammals from Douglas County, Nevada","545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726"," Journal Article","833","R. W. Wilson","1936","A Pliocene rodent fauna from Smiths Valley, Nevada","Carnegie Institution of Washington Publication","64","1","15-34","A Pliocene rodent fauna from Smiths Valley, Nevada","544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727"," Journal Article","832","J. R. Macdonald","1959","The middle Pliocene mammalian fauna from Smiths Valley, Nevada","Journal of Paleontology","33","5","872-887","The middle Pliocene mammalian fauna from Smiths Valley, Nevada","543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728"," Journal Article","831","T. S. Kelly and T. P. Lugaski","1999","A Hemphillian (late Miocene) mammalian fauna from the Desert Mountains, west central Nevada","Bulletin of the Southern California Academy of Sciences","98","1","1-14","A Hemphillian (late Miocene) mammalian fauna from the Desert Mountains, west central Nevada","542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729"," Journal Article","830","T. S. Kelly","1995a","New miocene horses from the Caliente Formation, Cuyama Valley Badlands, California","Contributions in Science, Los Angeles County Museum","455",NA,"1-33","New miocene horses from the Caliente Formation, Cuyama Valley Badlands, California","541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730"," Thesis","829","M. F. Morea","1981","The Massacre Lake local fauna (Mammalia, Hemingfordian) from northwestern Washoe County, Nevada",NA,NA,NA,NA,"The Massacre Lake local fauna (Mammalia, Hemingfordian) from northwestern Washoe County, Nevada","540",NA,NA,"Riverside",NA,NA,NA,"1-262",NA,"University of California, Riverside",NA,"Ph.D.",NA,NA,NA,NA,NA,NA,NA
"731"," Journal Article","828","T. S. Kelly","1998b","New Miocene mammalian faunas from west central Nevada","Journal of Paleontology","72","1","137-149","New Miocene mammalian faunas from west central Nevada","539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732"," Journal Article","827","T. S. Kelly","1995b","A new record of the Miocene rabbit Hypolagus fontinalis from west central Nevada","Bulletin of the Southern California Academy of Sciences","94","3","213-217","A new record of the Miocene rabbit Hypolagus fontinalis from west central Nevada","538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"733"," Journal Article","826","J. R. Macdonald","1956b","A new Clarendonian mammalian fauna from the Truckee formaton of western Nevada","Journal of Paleontology","30","1","186-202","A new Clarendonian mammalian fauna from the Truckee formaton of western Nevada","537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734"," Journal Article","825","D. I. Axelrod","1956","Mio-Pliocene floras from west-central Nevada","University of California Publications in Geological Sciences","33",NA,"322","Mio-Pliocene floras from west-central Nevada","536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735"," Thesis","824","J. A. Suthard","1966","Stratigraphy and paleontology in Fish Lake Valley, Esmeralda County, Nevada",NA,NA,NA,NA,"Stratigraphy and paleontology in Fish Lake Valley, Esmeralda County, Nevada","535",NA,NA,"Riverside",NA,NA,NA,"1-108","Geological Sciences","University of California, Riverside",NA,"M.A.",NA,NA,NA,NA,NA,NA,NA
"736"," Journal Article","823","J. R. Macdonald and W. J. Pelletier","1956","The Pliocene mammalian faunas of Nevada, U.S.A","Paleontología, Taxonomía y Evolucíon","7",NA,"365-388","The Pliocene mammalian faunas of Nevada, U.S.A","534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737"," Journal Article","822","D. B. Kitts","1957","A Pliocene vertebrate fauna from Ellis County, Oklahoma","Oklahoma Geological Survey Circular","45",NA,"27","A Pliocene vertebrate fauna from Ellis County, Oklahoma","533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738"," Journal Article","821","R. A. Stirton","1932c","Correlation of the Fish Lake Valley and Cedar Mountain beds in the Esmeralda Formation of Nevada","Science","76",NA,"60-61","Correlation of the Fish Lake Valley and Cedar Mountain beds in the Esmeralda Formation of Nevada","532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739"," Journal Article","820","R. A. Stirton","1932b","An association of horn cores and upper molars of the antelope Sphenophalos nevadanus from the lower Pliocene of Nevada","American Journal of Science","24",NA,"46-51","An association of horn cores and upper molars of the antelope Sphenophalos nevadanus from the lower Pliocene of Nevada","531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740"," Journal Article","819","W. D. Matthew","1929","A new and remarkable hedgehog from the later Tertiary of Nevada","University of California Publications in Geological Sciences","18","4","93-102","A new and remarkable hedgehog from the later Tertiary of Nevada","530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741"," Journal Article","818","J. B. Clark, M. R. Dawson and A. E. Wood","1964","Fossil mammals from the lower Pliocene of Fish Lake Valley, Nevada","Bulletin of the Museum of Comparative Zoology, Harvard University","131","2","27-63","Fossil mammals from the lower Pliocene of Fish Lake Valley, Nevada","529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742"," Journal Article","817","E. R. Hall","1930c","A new genus of bat from the later Tertiary of Nevada","University of California Publications in Geological Sciences","19","14","319-320","A new genus of bat from the later Tertiary of Nevada","528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743"," Journal Article","816","C. Stock","1926","Anchitheriine horses from Fish Lake valley region, Nevada","University of California Publications in Geological Sciences","16","3","61-68","Anchitheriine horses from Fish Lake valley region, Nevada","527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744"," Journal Article","815","J. C. Merriam","1913a","New anchitheriine horses from the Tertiary of the Great Basin area","University of California Publications, Bulletin of the Department of Geology","7","22","419-434","New anchitheriine horses from the Tertiary of the Great Basin area","526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745"," Journal Article","814","R. A. Stirton","1929","Artiodactyla from the fossil beds of Fish Lake Valley, Nevada","University of California Publications in Geological Sciences","18","11","291-302","Artiodactyla from the fossil beds of Fish Lake Valley, Nevada","525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
